puesto,estado,ciudad,ap,indice,variacion,variacion_anual,peso_1,peso_100
42,D.F,Área Met. de la Cd. de México,Frutas y Verduras,109.46,-0.12,-6.91,0.0113,1.13
43,VERACRUZ,"Córdoba, Ver.",Servicios,106.83,0.11,1.98,0.0111,1.11
44,GUANAJUATO,"Cortazar, Gto.",Mercancías,111.727,0.23,5.65,0.0109,1.09
45,HIDALGO,"Pachuca, Hgo.",Subyacente,109.226,0.39,3.65,0.0109,1.09
46,SONORA,"Hermosillo, Son.",Subyacente,108.99,0.37,4,0.0109,1.09
47,JALISCO,"Guadalajara, Jal.",Alimentos,115.477,0.65,6.31,0.0102,1.02
48,MICHOACAN,"Morelia, Mich.",Subyacente,108.565,0.19,3.79,0.0102,1.02
49,NUEVO LEON,"Monterrey, N.L.",Alimentos,113.992,0.07,6.26,0.0102,1.02
50,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Subyacente,110.981,0.17,4.95,0.0101,1.01
51,D.F,Área Met. de la Cd. de México,Tarifas Autorizadas por Gobierno,105.161,0.48,3,0.0101,1.01
52,GUANAJUATO,"Cortazar, Gto.",Servicios,105.541,0.21,0.63,0.0101,1.01
53,D.F,Área Met. de la Cd. de México,Educación,112.66,-0.03,2.3,0.0096,0.96
54,JALISCO,"Guadalajara, Jal.",Mercancías no alimenticias,107.125,-0.25,5.49,0.0095,0.95
55,JALISCO,"Guadalajara, Jal.",Otros servicios,108.1,0.02,2.31,0.0095,0.95
56,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Mercancías,112.185,0.45,5.61,0.0092,0.92
57,CHIHUAHUA,"Cd. Juárez, Chih.",Subyacente,109.038,0.13,3.86,0.0089,0.89
58,PUEBLA,"Puebla, Pue.",No Subyacente,111.121,1.97,0.54,0.0089,0.89
59,COAHUILA,"Torreón, Coah.",Subyacente,112.117,0.49,5.29,0.0088,0.88
60,NUEVO LEON,"Monterrey, N.L.",Mercancías no alimenticias,107.764,0.24,2.72,0.0087,0.87
61,JALISCO,"Guadalajara, Jal.",Vivienda,106.394,0.19,2.65,0.0086,0.86
62,SINALOA,"Culiacán, Sin.",Servicios,108.178,0.51,2.76,0.0086,0.86
63,TAMAULIPAS,"Matamoros, Tamps.",Subyacente,109.603,0.7,3.97,0.0084,0.84
64,NUEVO LEON,"Monterrey, N.L.",Otros servicios,106.488,-0.31,1.35,0.0083,0.83
65,VERACRUZ,"Veracruz, Ver.",Subyacente,107.928,0.17,3.43,0.0083,0.83
66,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Servicios,106.282,-0.07,1.96,0.0082,0.82
67,AGUASCALIENTES,"Aguascalientes, Ags.",Subyacente,110.177,0.07,3.4,0.008,0.8
68,GUANAJUATO,"León, Gto.",Mercancías,109.901,0.33,5.31,0.008,0.8
69,VERACRUZ,"Córdoba, Ver.",Mercancías no alimenticias,111.032,0.38,4.09,0.008,0.8
70,CHIHUAHUA,"Chihuahua, Chih.",Subyacente,110.276,0.32,4.65,0.0079,0.79
71,NUEVO LEON,"Monterrey, N.L.",Vivienda,104.464,0.09,0.74,0.0079,0.79
72,NUEVO LEON,"Monterrey, N.L.",Energéticos y Tarifas Autorizadas por el Gobierno,112.011,1.36,0.03,0.0079,0.79
73,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Mercancías,110.848,0.75,5.14,0.0078,0.78
74,JALISCO,"Tepatitlán, Jal.",Mercancías,111.349,0.78,5.06,0.0078,0.78
75,NAYARIT,"Tepic, Nay.",Subyacente,108.67,0.41,3.81,0.0078,0.78
76,BAJA CALIFORNIA,"Tijuana, B.C.",Servicios,109.301,0.09,4.05,0.0077,0.77
77,QUINTANAROO,"Cancún, Q. Roo.",Subyacente,108.677,0,2.2,0.0077,0.77
78,VERACRUZ,"Córdoba, Ver.",No Subyacente,110.282,2.13,3.65,0.0077,0.77
79,YUCATAN,"Mérida, Yuc.",Mercancías,110.77,0.88,5.59,0.0077,0.77
80,GUERRERO,"Iguala, Gro.",Subyacente,110.866,0.86,5.73,0.0076,0.76
81,OAXACA,"Oaxaca, Oax.",Mercancías,111.778,0.47,5.31,0.0076,0.76
82,TABASCO,"Villahermosa, Tab.",Mercancías,112.414,0.51,5.73,0.0075,0.75
83,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Servicios,109.523,0.33,3.13,0.0074,0.74
84,MICHOACAN,"Jacona, Mich.",Mercancías,112.335,0.7,6.19,0.0073,0.73
85,GUANAJUATO,"León, Gto.",Servicios,105.729,0.09,0.74,0.0071,0.71
86,DURANGO,"Durango, Dgo.",Subyacente,110.448,0.31,4.59,0.007,0.7
87,COAHUILA,"Saltillo, Coah.",Subyacente,109.348,-0.05,3.95,0.0069,0.69
88,BAJA CALIFORNIA,"Mexicali, B.C.",Mercancías,110.272,-0.17,6.24,0.0068,0.68
89,COAHUILA,"Cd. Acuña, Coah.",Subyacente,109.668,0.12,4.8,0.0068,0.68
90,PUEBLA,"Puebla, Pue.",Mercancías no alimenticias,109.709,0.13,3.73,0.0068,0.68
91,QUERETARO,"Querétaro, Qro.",Mercancías,113.396,0.63,5.03,0.0068,0.68
92,TAMAULIPAS,"Tampico, Tamps.",Mercancías,110.7,0.52,4.93,0.0068,0.68
93,CHIAPAS,"Tapachula, Chis.",Subyacente,111.754,-0.09,4.84,0.0067,0.67
94,QUERETARO,"Querétaro, Qro.",Servicios,108.376,-0.07,3.09,0.0067,0.67
95,BAJA CALIFORNIA,"Tijuana, B.C.",Mercancías,112.868,0.84,7.86,0.0066,0.66
96,PUEBLA,"Puebla, Pue.",Alimentos,115.762,0.78,7.2,0.0066,0.66
97,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",No Subyacente,108.59,2.39,1.71,0.0065,0.65
98,PUEBLA,"Puebla, Pue.",Otros servicios,109.652,0.87,1.91,0.0065,0.65
99,SINALOA,"Culiacán, Sin.",Alimentos,112.149,0.72,5.15,0.0065,0.65
100,SINALOA,"Culiacán, Sin.",No Subyacente,122.11,1.44,0.98,0.0065,0.65
101,VERACRUZ,"Córdoba, Ver.",Alimentos,117.066,0.32,7.92,0.0065,0.65
102,VERACRUZ,"Coatzacoalcos, Ver.",Subyacente,108.358,0.37,3.73,0.0065,0.65
103,GUANAJUATO,"Cortazar, Gto.",No Subyacente,108.794,1.33,2.58,0.0064,0.64
104,BAJA CALIFORNIA,"Mexicali, B.C.",Servicios,106.496,0.45,2.64,0.0063,0.63
105,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Mercancías,114.396,0.25,7.14,0.0063,0.63
106,JALISCO,"Guadalajara, Jal.",Energéticos y Tarifas Autorizadas por el Gobierno,106.597,3.01,2.62,0.0063,0.63
107,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Subyacente,109.823,0.01,3.94,0.0061,0.61
108,MICHOACAN,"Jacona, Mich.",Servicios,109.712,0.83,3.88,0.0061,0.61
109,OAXACA,"Tehuantepec, Oax.",Subyacente,111.354,0.69,3.41,0.006,0.6
110,PUEBLA,"Izúcar de Matamoros, Pue.",Subyacente,107.759,0.38,3.15,0.006,0.6
111,TAMAULIPAS,"Tampico, Tamps.",Servicios,106.336,0.09,2.29,0.006,0.6
112,TLAXCALA,"Tlaxcala, Tlax.",Subyacente,109.102,0.28,3.63,0.006,0.6
113,VERACRUZ,"San Andrés Tuxtla, Ver.",Subyacente,110.64,0.45,4.8,0.006,0.6
114,BAJA CALIFORNIA,"Tijuana, B.C.",No Subyacente,103.846,2.5,1.38,0.0059,0.59
115,GUERRERO,"Acapulco, Gro.",Subyacente,110.654,0.27,4.63,0.0059,0.59
116,OAXACA,"Oaxaca, Oax.",Servicios,107.475,0.63,2.25,0.0059,0.59
117,SONORA,"Hermosillo, Son.",Mercancías,110.887,0.6,5.31,0.0059,0.59
118,CAMPECHE,"Campeche, Camp.",Subyacente,109.829,0.17,3.21,0.0058,0.58
119,MORELOS,"Cuernavaca, Mor.",Mercancías,112.767,0.17,5.14,0.0058,0.58
120,GUANAJUATO,"Cortazar, Gto.",Alimentos,114.462,0.41,5.64,0.0057,0.57
121,JALISCO,"Tepatitlán, Jal.",Servicios,109.04,1.13,2.78,0.0057,0.57
122,HIDALGO,"Pachuca, Hgo.",Mercancías,111.385,0.71,6.03,0.0056,0.56
123,MORELOS,"Cuernavaca, Mor.",Servicios,105.862,-0.21,1.7,0.0056,0.56
124,TABASCO,"Villahermosa, Tab.",Servicios,105.834,-0.04,1.24,0.0056,0.56
125,COLIMA,"Colima, Col.",Subyacente,110.127,0.54,4.74,0.0055,0.55
126,MICHOACAN,"Morelia, Mich.",Mercancías,110.927,0.28,5.56,0.0055,0.55
127,NUEVO LEON,"Monterrey, N.L.",Energéticos,114.712,1.89,-0.64,0.0055,0.55
128,SINALOA,"Culiacán, Sin.",Mercancías no alimenticias,109.069,0.94,4.44,0.0055,0.55
129,BAJA CALIFORNIA,"Mexicali, B.C.",No Subyacente,120.161,1.92,0.15,0.0054,0.54
130,YUCATAN,"Mérida, Yuc.",Servicios,109.016,-0.25,1.64,0.0054,0.54
131,GUANAJUATO,"León, Gto.",No Subyacente,107.127,2.23,-1.09,0.0053,0.53
132,HIDALGO,"Pachuca, Hgo.",Servicios,106.951,0.04,1.16,0.0053,0.53
133,PUEBLA,"Puebla, Pue.",Vivienda,107.539,-0.01,2.14,0.0053,0.53
134,GUANAJUATO,"Cortazar, Gto.",Mercancías no alimenticias,108.765,0.02,5.67,0.0052,0.52
135,JALISCO,"Guadalajara, Jal.",Agropecuarios,116.239,1.54,3.21,0.0052,0.52
136,PUEBLA,"Puebla, Pue.",Energéticos y Tarifas Autorizadas por el Gobierno,110.627,3.19,1.76,0.0052,0.52
137,VERACRUZ,"Córdoba, Ver.",Otros servicios,108.643,-0.16,1.84,0.0052,0.52
138,VERACRUZ,"Córdoba, Ver.",Vivienda,104.687,0.42,2.4,0.0051,0.51
139,COAHUILA,"Torreón, Coah.",Mercancías,114.103,0.48,6.72,0.005,0.5
140,SONORA,"Hermosillo, Son.",Servicios,106.748,0.09,2.44,0.005,0.5
141,TABASCO,"Villahermosa, Tab.",No Subyacente,115.491,1.08,4.57,0.005,0.5
142,GUANAJUATO,"Cortazar, Gto.",Otros servicios,104.393,0.44,0.14,0.0049,0.49
143,CHIHUAHUA,"Cd. Juárez, Chih.",Mercancías,110.222,0.21,4.05,0.0048,0.48
144,MICHOACAN,"Morelia, Mich.",Servicios,105.854,0.09,1.74,0.0048,0.48
145,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",No Subyacente,109.36,2.25,2.1,0.0048,0.48
146,SONORA,"Esperanza, Son.",Subyacente,107.566,0.59,4.11,0.0048,0.48
147,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Alimentos,116.916,0.95,7.47,0.0047,0.47
148,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",Subyacente,107.978,0.06,3.81,0.0046,0.46
149,JALISCO,"Guadalajara, Jal.",Energéticos,100.452,3.69,-2.21,0.0046,0.46
150,NUEVO LEON,"Monterrey, N.L.",Agropecuarios,109.058,0.31,0.98,0.0046,0.46
151,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Mercancías no alimenticias,107.328,-0.11,3.62,0.0046,0.46
152,SINALOA,"Culiacán, Sin.",Otros servicios,107.848,0.71,3.01,0.0046,0.46
153,YUCATAN,"Mérida, Yuc.",Alimentos,111.905,0.93,6,0.0046,0.46
154,CHIHUAHUA,"Jiménez, Chih.",Subyacente,109.523,0.23,4.06,0.0045,0.45
155,GUANAJUATO,"León, Gto.",Alimentos,111.124,0.41,6.14,0.0045,0.45
156,GUERRERO,"Iguala, Gro.",Mercancías,112.802,1.15,6.31,0.0045,0.45
157,OAXACA,"Oaxaca, Oax.",No Subyacente,108.797,0.83,0.9,0.0045,0.45
158,BAJA CALIFORNIA,"Tijuana, B.C.",Energéticos y Tarifas Autorizadas por el Gobierno,99.541,3.72,0.05,0.0044,0.44
159,CHIAPAS,"Tapachula, Chis.",Mercancías,112.887,-0.02,5.37,0.0044,0.44
160,TAMAULIPAS,"Matamoros, Tamps.",Mercancías,112.07,0.78,5.43,0.0044,0.44
161,VERACRUZ,"Veracruz, Ver.",Mercancías,109.761,0.35,5.03,0.0044,0.44
162,VERACRUZ,"Córdoba, Ver.",Energéticos y Tarifas Autorizadas por el Gobierno,104.958,2.77,2.75,0.0044,0.44
163,AGUASCALIENTES,"Aguascalientes, Ags.",Mercancías,112.437,0.36,4.92,0.0043,0.43
164,DURANGO,"Durango, Dgo.",Mercancías,113.237,0.55,6.65,0.0043,0.43
165,MICHOACAN,"Jacona, Mich.",No Subyacente,109.78,1.51,1.94,0.0043,0.43
166,NAYARIT,"Tepic, Nay.",Mercancías,110.366,0.52,4.57,0.0043,0.43
167,SINALOA,"Culiacán, Sin.",Energéticos y Tarifas Autorizadas por el Gobierno,126.792,2.75,-0.77,0.0042,0.42
168,SONORA,"Huatabampo, Son.",Subyacente,108.299,0.15,2.73,0.0042,0.42
169,CHIHUAHUA,"Cd. Juárez, Chih.",Servicios,107.646,0.04,3.63,0.0041,0.41
170,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Alimentos,113.264,0.54,5.65,0.0041,0.41
171,JALISCO,"Tepatitlán, Jal.",Alimentos,115.16,0.63,6.3,0.0041,0.41
172,OAXACA,"Oaxaca, Oax.",Alimentos,113.437,0.2,5.75,0.0041,0.41
173,ZACATECAS,"Fresnillo, Zac.",Subyacente,110.445,0.23,4.2,0.0041,0.41
174,CHIAPAS,"Tuxtla Gutiérrez, Chis.",No Subyacente,108.876,1.94,5.37,0.004,0.4
175,CHIHUAHUA,"Chihuahua, Chih.",Servicios,108.004,0.12,3.47,0.004,0.4
176,HIDALGO,"Pachuca, Hgo.",No Subyacente,108.036,2.93,2.16,0.004,0.4
177,MICHOACAN,"Morelia, Mich.",No Subyacente,105.761,2.56,0.97,0.004,0.4
178,TAMAULIPAS,"Tampico, Tamps.",No Subyacente,112.867,2.23,2.8,0.004,0.4
179,TAMAULIPAS,"Matamoros, Tamps.",Servicios,106.877,0.61,2.32,0.004,0.4
180,BAJA CALIFORNIA,"Mexicali, B.C.",Energéticos y Tarifas Autorizadas por el Gobierno,122.724,2.54,-0.75,0.0039,0.39
181,CHIHUAHUA,"Chihuahua, Chih.",Mercancías,112.57,0.51,5.83,0.0039,0.39
182,COAHUILA,"Saltillo, Coah.",Mercancías,111.567,0.09,5.49,0.0039,0.39
183,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Energéticos y Tarifas Autorizadas por el Gobierno,108.614,3.22,1.09,0.0039,0.39
184,GUANAJUATO,"Cortazar, Gto.",Energéticos y Tarifas Autorizadas por el Gobierno,103.02,2.95,-0.07,0.0039,0.39
185,JALISCO,"Tepatitlán, Jal.",No Subyacente,109.942,1.63,2.37,0.0039,0.39
186,OAXACA,"Tehuantepec, Oax.",Mercancías,114.481,0.96,5.41,0.0039,0.39
187,QUINTANAROO,"Cancún, Q. Roo.",Mercancías,110.365,0.23,3.53,0.0039,0.39
188,VERACRUZ,"Veracruz, Ver.",Servicios,105.897,-0.04,1.65,0.0039,0.39
189,BAJA CALIFORNIA,"Tijuana, B.C.",Otros servicios,110.061,0.06,4.63,0.0038,0.38
190,COAHUILA,"Torreón, Coah.",Servicios,109.532,0.5,3.42,0.0038,0.38
191,GUANAJUATO,"Cortazar, Gto.",Vivienda,104.551,0,1.65,0.0038,0.38
192,MICHOACAN,"Jacona, Mich.",Alimentos,117.798,0.43,7.97,0.0038,0.38
193,PUEBLA,"Puebla, Pue.",Agropecuarios,111.795,0.36,-1.06,0.0038,0.38
194,QUERETARO,"Querétaro, Qro.",No Subyacente,111.067,2.2,-0.17,0.0038,0.38
195,QUINTANAROO,"Chetumal, Q. Roo.",Subyacente,109.2,0.5,3.93,0.0038,0.38
196,QUINTANAROO,"Cancún, Q. Roo.",Servicios,106.963,-0.24,0.85,0.0038,0.38
197,TABASCO,"Villahermosa, Tab.",Mercancías no alimenticias,110.319,0.7,5.31,0.0038,0.38
198,AGUASCALIENTES,"Aguascalientes, Ags.",Servicios,107.567,-0.27,1.61,0.0037,0.37
199,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Servicios,105.228,0.03,1.17,0.0037,0.37
200,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Mercancías no alimenticias,108.181,0.99,4.54,0.0037,0.37
201,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Vivienda,102.975,0,0.2,0.0037,0.37
202,JALISCO,"Tepatitlán, Jal.",Mercancías no alimenticias,107.193,0.96,3.63,0.0037,0.37
203,MORELOS,"Cuernavaca, Mor.",No Subyacente,108.104,2.01,1.86,0.0037,0.37
204,SONORA,"Hermosillo, Son.",No Subyacente,125.371,0.89,1.79,0.0037,0.37
205,TABASCO,"Villahermosa, Tab.",Alimentos,114.578,0.33,6.16,0.0037,0.37
206,BAJA CALIFORNIA,"Mexicali, B.C.",Mercancías no alimenticias,107.332,-0.3,5.62,0.0036,0.36
207,GUERRERO,"Acapulco, Gro.",Mercancías,112.422,0.41,6.13,0.0036,0.36
208,PUEBLA,"Puebla, Pue.",Energéticos,105.364,4.75,2.99,0.0036,0.36
209,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Otros servicios,110.813,0.53,3.36,0.0036,0.36
210,TAMAULIPAS,"Tampico, Tamps.",Alimentos,111.88,0.62,5.69,0.0036,0.36
211,BAJA CALIFORNIA,"Tijuana, B.C.",Alimentos,115.416,0.85,7.55,0.0035,0.35
212,BAJA CALIFORNIA,"Tijuana, B.C.",Vivienda,108.314,0.13,3.68,0.0035,0.35
213,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Otros servicios,108.179,-0.16,3.86,0.0035,0.35
214,GUANAJUATO,"León, Gto.",Mercancías no alimenticias,108.326,0.23,4.23,0.0035,0.35
215,GUANAJUATO,"León, Gto.",Energéticos y Tarifas Autorizadas por el Gobierno,105.712,2.64,-1.54,0.0035,0.35
216,MICHOACAN,"Jacona, Mich.",Mercancías no alimenticias,106.399,1.02,4.13,0.0035,0.35
217,OAXACA,"Oaxaca, Oax.",Mercancías no alimenticias,109.814,0.8,4.79,0.0035,0.35
218,PUEBLA,"Izúcar de Matamoros, Pue.",Mercancías,109.312,0.33,4.72,0.0035,0.35
219,VERACRUZ,"San Andrés Tuxtla, Ver.",Mercancías,112.46,0.63,6.77,0.0035,0.35
220,YUCATAN,"Mérida, Yuc.",No Subyacente,114.263,0.15,1.84,0.0035,0.35
221,BAJA CALIFORNIA,"Mexicali, B.C.",Energéticos,124.904,2.84,-0.66,0.0034,0.34
222,CAMPECHE,"Campeche, Camp.",Mercancías,112.522,0.23,4.59,0.0034,0.34
223,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Alimentos,115.792,0.53,8.05,0.0034,0.34
224,COAHUILA,"Cd. Acuña, Coah.",Mercancías,109.876,0.26,6.22,0.0034,0.34
225,COAHUILA,"Cd. Acuña, Coah.",Servicios,109.458,-0.01,3.4,0.0034,0.34
226,GUANAJUATO,"León, Gto.",Otros servicios,107.587,0.12,1.12,0.0034,0.34
227,NAYARIT,"Tepic, Nay.",Servicios,106.515,0.26,2.83,0.0034,0.34
228,QUERETARO,"Querétaro, Qro.",Alimentos,112.394,0.78,4.89,0.0034,0.34
229,QUERETARO,"Querétaro, Qro.",Mercancías no alimenticias,114.388,0.48,5.17,0.0034,0.34
230,TLAXCALA,"Tlaxcala, Tlax.",Mercancías,111.18,0.6,5.18,0.0034,0.34
231,VERACRUZ,"Coatzacoalcos, Ver.",Mercancías,110.766,0.42,5.76,0.0034,0.34
232,BAJA CALIFORNIA,"Tijuana, B.C.",Energéticos,97.874,4.72,-0.88,0.0033,0.33
233,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Servicios,106.888,-0.45,2,0.0033,0.33
234,CHIHUAHUA,"Cd. Juárez, Chih.",No Subyacente,111.712,1.29,2.29,0.0033,0.33
235,SINALOA,"Culiacán, Sin.",Energéticos,130.9,2.93,-1.29,0.0033,0.33
236,VERACRUZ,"Córdoba, Ver.",Agropecuarios,117.25,1.38,4.72,0.0033,0.33
237,ZACATECAS,"Zacatecas, Zac.",Subyacente,109.342,0.31,3.38,0.0033,0.33
238,BAJA CALIFORNIA,"Mexicali, B.C.",Alimentos,113.526,-0.04,6.9,0.0032,0.32
239,BAJA CALIFORNIA,"Tijuana, B.C.",Mercancías no alimenticias,110.09,0.83,8.22,0.0032,0.32
240,MICHOACAN,"Jacona, Mich.",Otros servicios,109.372,1.15,3.72,0.0032,0.32
241,QUERETARO,"Querétaro, Qro.",Otros servicios,109.745,-0.17,4.16,0.0032,0.32
242,SINALOA,"Culiacán, Sin.",Vivienda,108.859,0.36,3.15,0.0032,0.32
243,TAMAULIPAS,"Tampico, Tamps.",Mercancías no alimenticias,109.357,0.41,4.06,0.0032,0.32
244,BAJA CALIFORNIA,"Mexicali, B.C.",Otros servicios,107.033,0.66,3.02,0.0031,0.31
245,GUANAJUATO,"Cortazar, Gto.",Energéticos,99.834,3.76,-0.87,0.0031,0.31
246,GUERRERO,"Iguala, Gro.",Servicios,108.001,0.4,4.85,0.0031,0.31
247,JALISCO,"Guadalajara, Jal.",Resto de Agropecuarios,113.101,0.89,5.36,0.0031,0.31
248,MORELOS,"Cuernavaca, Mor.",Alimentos,116.201,0.49,6.51,0.0031,0.31
249,VERACRUZ,"Coatzacoalcos, Ver.",Servicios,105.68,0.31,1.45,0.0031,0.31
250,YUCATAN,"Mérida, Yuc.",Mercancías no alimenticias,109.098,0.8,4.97,0.0031,0.31
251,COAHUILA,"Saltillo, Coah.",Servicios,106.429,-0.24,1.89,0.003,0.3
252,COLIMA,"Colima, Col.",Mercancías,111.32,0.54,5.8,0.003,0.3
253,MICHOACAN,"Morelia, Mich.",Alimentos,114.314,0.35,7.52,0.003,0.3
254,OAXACA,"Oaxaca, Oax.",Otros servicios,107.1,0.91,2.66,0.003,0.3
255,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Energéticos y Tarifas Autorizadas por el Gobierno,104.657,2.95,1.21,0.003,0.3
256,SONORA,"Hermosillo, Son.",Mercancías no alimenticias,107.264,0.78,4.1,0.003,0.3
257,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Mercancías no alimenticias,112.723,-0.08,6.04,0.0029,0.29
258,COAHUILA,"Monclova, Coah.",Subyacente,109.682,0.3,4.04,0.0029,0.29
259,HIDALGO,"Pachuca, Hgo.",Alimentos,113.013,0.49,6.08,0.0029,0.29
260,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Vivienda,107.59,0.18,3.22,0.0029,0.29
261,TAMAULIPAS,"Matamoros, Tamps.",No Subyacente,115.535,1.66,1.96,0.0029,0.29
262,VERACRUZ,"Córdoba, Ver.",Energéticos,104.071,4.26,3.79,0.0029,0.29
263,YUCATAN,"Mérida, Yuc.",Otros servicios,110.927,-0.52,2.14,0.0029,0.29
264,GUANAJUATO,"León, Gto.",Vivienda,103.294,0.08,1.3,0.0028,0.28
265,GUERRERO,"Iguala, Gro.",No Subyacente,108.396,0.54,0.64,0.0028,0.28
266,JALISCO,"Tepatitlán, Jal.",Otros servicios,107.744,1.95,2.2,0.0028,0.28
267,MORELOS,"Cuernavaca, Mor.",Mercancías no alimenticias,108.941,-0.22,3.56,0.0028,0.28
268,MORELOS,"Cuernavaca, Mor.",Otros servicios,108.997,-0.38,2.87,0.0028,0.28
269,QUERETARO,"Querétaro, Qro.",Vivienda,106.013,0.04,1.92,0.0028,0.28
270,SONORA,"Hermosillo, Son.",Alimentos,114.74,0.43,6.55,0.0028,0.28
